"ParticipantMD5"	"GeneroCod"	"frase"	"Value"	"duracao"
"bc2584302fffead698e1809107a60040"	"m"	"Pior é que eu gostei dele também."	"neutra"	"3.457"
"bc2584302fffead698e1809107a60040"	"m"	"É estranho o modo como ainda penso nele, tenho vontade de ligar pra ele."	"positiva"	"1.480"
"bc2584302fffead698e1809107a60040"	"m"	"Uma tarde ele chegou me dizendo que precisa ir a um evento no quartel."	"positiva"	"2.558"
"bc2584302fffead698e1809107a60040"	"m"	"Ela teve 5 filhos e nenhum teve pai."	"neutra"	"2.591"
"bc2584302fffead698e1809107a60040"	"m"	"E foi assim até 5 da manhã, quando eu finalmente resolvi ir dormir."	"negativa"	"3.031"
"bc2584302fffead698e1809107a60040"	"m"	"Sem contar que as nossas mensagens varavam madrugadas e sempre terminavam no mesmo assunto, sexo."	"neutra"	"2.390"
"bc2584302fffead698e1809107a60040"	"m"	"E eu cansei de me preocupar com os outros, querer sempre o bem das pessoas ao meu redor, e levar nome de chata."	"positiva"	"4.136"
"bc2584302fffead698e1809107a60040"	"m"	"u ainda não consegui parar de me cortar, eu sei que isso é um problema e tal mas pô tá difícil."	"positiva"	"7.288"
"bc2584302fffead698e1809107a60040"	"m"	"Esse é um local de muitos desabafos e eu me sinto meio mãezona de muitos que escrevem, pois sou mais velha que boa parte das meninas aqui."	"negativa"	"1.976"
"bc2584302fffead698e1809107a60040"	"m"	"O remédio funciona, mas o problema é que ele tem efeitos colaterais mais que fortes."	"positiva"	"7.134"
"bc2584302fffead698e1809107a60040"	"m"	"Pois bem, eu vi ele, ele me viu, mas não falou comigo."	"neutra"	"2.093"
"bc2584302fffead698e1809107a60040"	"m"	"Você viajou, está longe de mim."	"negativa"	"5.434"
"bc2584302fffead698e1809107a60040"	"m"	"Vai chegando feriado ou final de semana e eu conto as horas para ir à casa dos meus pais."	"negativa"	"1.319"
"bc2584302fffead698e1809107a60040"	"m"	"Sinto como se uma parte de mim estivesse em outro lugar."	"positiva"	"3.535"
"bc2584302fffead698e1809107a60040"	"m"	"Eu e Carol estamos cada vez mais amigas, adoro ela."	"neutra"	"2.840"
"bc2584302fffead698e1809107a60040"	"m"	"E será egoísmo da sua parte deixar os outros resolverem."	"positiva"	"1.744"
"bc2584302fffead698e1809107a60040"	"m"	"Eu não trato ele mal, mas cara ele só fala merda, eu já disse que não quero mais ficar com ele, mas ele insisti de uma forma que sufoca."	"neutra"	"2.624"
"bc2584302fffead698e1809107a60040"	"m"	"Então resolvi procurar no Google alguma clinica que fazia terapia de vidas passadas em Goiânia, até então eu nem sabia que existia isso aqui, só tinha visto pela televisão."	"negativa"	"4.679"
"bc2584302fffead698e1809107a60040"	"m"	"á havíamos ficado antes e foi muito louco ela já havia me chupado até eu gozar na boca dela."	"neutra"	"4.062"
"bc2584302fffead698e1809107a60040"	"m"	"Eu estou muito feliz com a aprovação, mesmo sabendo que não foi merecida de verdade."	"positiva"	"2.824"
"bc2584302fffead698e1809107a60040"	"m"	"Ontem ela estava no trabalho e minha prima falou que ela tinha chocolate, e eu sou louca por chocolate."	"positiva"	"2.936"
"bc2584302fffead698e1809107a60040"	"m"	"No decorrer dos anos, encontramos vários tipos de anjos."	"positiva"	"2.711"
"bc2584302fffead698e1809107a60040"	"m"	"Você foi simplesmente roubado de mim, não é?"	"positiva"	"2.785"
"bc2584302fffead698e1809107a60040"	"m"	"Essa é uma frase que eu costumo falar para alguém que pergunta sobre minha vida, mas ninguém entende."	"neutra"	"2.702"
"bc2584302fffead698e1809107a60040"	"m"	"Sou seletiva em minhas amizades."	"neutra"	"3.663"
"bc2584302fffead698e1809107a60040"	"m"	"Hoje acaba uma guerra."	"neutra"	"1.519"
"bc2584302fffead698e1809107a60040"	"m"	"Ainda passo todos os natais de lá pra frente sozinha, e páscoas também."	"neutra"	"1.735"
"bc2584302fffead698e1809107a60040"	"m"	"Eu emprestei o dinheiro para o meu pai e sinceramente, me arrependo muito disso."	"negativa"	"4.496"
"bc2584302fffead698e1809107a60040"	"m"	"É mesmo uma ousada declaração de amor."	"negativa"	"2.199"
"bc2584302fffead698e1809107a60040"	"m"	"Eu divido o quarto com a minha irmã, então ficou eu na minha cama, ele no colchão (no chão do meu lado) e minha irmã na cama dela que é logo do lado (pertinho)."	"positiva"	"1.912"
"bc2584302fffead698e1809107a60040"	"m"	"Não conseguia responder, não chorava, não sorria, simplesmente sentei no chão do banheiro olhando para o nada, com uma eterna sensação de bem estar em meio ao vazio que me atormentava."	"neutra"	"11.096"
"bc2584302fffead698e1809107a60040"	"m"	"Pensava em seguir as regras, fazer papel de bom garoto, me preocupava com o que os outros estavam pensando de mim."	"negativa"	"3.559"
"bc2584302fffead698e1809107a60040"	"m"	"Fui pra sala e um pouco depois minha professora nos levou pra biblioteca."	"negativa"	"3.678"
"bc2584302fffead698e1809107a60040"	"m"	"Ninguém, nem meus pais nem meus irmãos ia saber porque estava chorando, nunca."	"neutra"	"1.520"
"bc2584302fffead698e1809107a60040"	"m"	"Ficar sem você é ter a noção do tempo e não saber preenchê-lo, é perder a paz e conhecer a ausência de alguém presente."	"negativa"	"3.030"
"bc2584302fffead698e1809107a60040"	"m"	"Estávamos uns dias sem ter contato, quando ele me liga perguntando se eu havia esquecido ele e porque eu havia sumido."	"negativa"	"10.584"
"bc2584302fffead698e1809107a60040"	"m"	"Na hora que fui embora ele me deu um bombom, serenata de amor."	"positiva"	"5.096"
"bc2584302fffead698e1809107a60040"	"m"	"Ele se aproximou de mim me deu aquele abraço bem apertado e disse eu te amo."	"positiva"	"2.160"
"bc2584302fffead698e1809107a60040"	"m"	"Então é isso, fico por aqui, hoje estou muito feliz e com saudade dele já, a gente é grudento do nosso jeito, e eu amo isso."	"positiva"	"1.606"
"bc2584302fffead698e1809107a60040"	"m"	"Meus olhos começam a se encher de lágrimas."	"positiva"	"3.736"
"bc2584302fffead698e1809107a60040"	"m"	"Ela não pode sair aqui sem ele, apenas ficar em casa!"	"neutra"	"2.169"
"bc2584302fffead698e1809107a60040"	"m"	"E oba, ele ja decorou meu nome, aquela chata da Aline ficou morrendo de inveja, eu to gostando dos professores novos, e principalmente o Kairton."	"neutra"	"4.624"
"bc2584302fffead698e1809107a60040"	"m"	"Estou gostando de amar, e de ser amada, melhor coisa que tem é ser correspondida em relação a sentimentos bons."	"neutra"	"3.743"
"bc2584302fffead698e1809107a60040"	"m"	"Só é pra eu me separar, quando ele se separar."	"positiva"	"3.118"
"bc2584302fffead698e1809107a60040"	"m"	"Meu namorado não parece ser tão mais velho do que eu não, mas isso me chateia, porque o amor não depende da idade."	"neutra"	"5.935"
"bc2584302fffead698e1809107a60040"	"m"	"Mandei um e-mail para o meu colega na quarta feira passada, dizendo que se ele estivesse disponível eu estava precisando conversar."	"positiva"	"3.265"
"bc2584302fffead698e1809107a60040"	"m"	"Também comprei abóbora e me dirigi ao caixa pagador."	"neutra"	"5.088"
"bc2584302fffead698e1809107a60040"	"m"	"E conseguem, emagrecem e tornam-se mulheres com um peso perfeitamente normal, e muito mais bonitas!"	"neutra"	"1.721"
"bc2584302fffead698e1809107a60040"	"m"	"Eu lembro de tantos momentos , tantas coisas boas que agente fez junta, voce foi um anjo pra mim."	"positiva"	"3.271"
"bc2584302fffead698e1809107a60040"	"m"	"Sempre foi considerada pelos parentes um nada, não tinha dinheiro, era doente e muito infeliz."	"positiva"	"2.055"
"bc2584302fffead698e1809107a60040"	"m"	"Ai contei pro meu pai, o que ela tinha me dito naquele dia, ela falou que é mentira, que eu sou mentirosa e ela não disse nada daquilo."	"negativa"	"3.903"
"bc2584302fffead698e1809107a60040"	"m"	"Conheci um amigo da minha irmã esses dias, ele tem 17 anos e pelo que percebi, é bem galinha, resolvi então, dar uma estudadinha no seu tipo e vou dar algumas dicas para as menininhas apaixonadas que lerem isso."	"negativa"	"5.518"
"bc2584302fffead698e1809107a60040"	"m"	"Pra quê ela mente desse jeito?"	"neutra"	"195.408"
"bc2584302fffead698e1809107a60040"	"m"	"E antes de você nascer, eu já tinha escrito a sua história."	"negativa"	"1.942"
"bc2584302fffead698e1809107a60040"	"m"	"Ele brincou, o que doeu um pouco, por conta do dedo grosso, mas foi bom."	"neutra"	"2.216"
"bc2584302fffead698e1809107a60040"	"m"	"Minha irmã, não tenho nada com ela, nem existe para mim, meu irmão, tenho dó, mas ele vive bem apesar de tudo."	"positiva"	"2.984"
"bc2584302fffead698e1809107a60040"	"m"	"Nunca me arrependi tanto, duvido que eu vou passar com esses acertos, pra passar em Edificações tem que acertar de 40 pra cima."	"neutra"	"7.238"
"bc2584302fffead698e1809107a60040"	"m"	"Ver vc sair poderia ter sido mais um, mas nao é isso o que está acontecendo."	"neutra"	"2.312"
"bc2584302fffead698e1809107a60040"	"m"	"Se os dois acabarem se dando bem conversando, provavelmente, esse vai ser um sinal de que ela está gostando de conversar e tá achando você uma pessoa legal, isso é muito importante para que tudo dê certo."	"negativa"	"4.992"
"bc2584302fffead698e1809107a60040"	"m"	"Eu faço milagres, você não sabe, mas eu estou planejando o seu futuro, e os planos que tenho para você, irão te fazer muito feliz."	"positiva"	"4.311"
"bc2584302fffead698e1809107a60040"	"m"	"Eles só esperam um dia conseguir dizer, uma oportunidade, uma chance."	"positiva"	"3.166"
"bc2584302fffead698e1809107a60040"	"m"	"Ele não entende porque ele nunca teve que passar por uma dificuldade assim, mas eu tenho certeza que se fosse a mãe dele no lugar do meu pai, ele teria feito o mesmo."	"neutra"	"5.816"
"bc2584302fffead698e1809107a60040"	"m"	"Quando chega a noite, hora de dormir, encosto a cabeça no travesseiro e meu pensamento me transporta para um mundo maravilhoso."	"neutra"	"6.039"
"bc2584302fffead698e1809107a60040"	"m"	"Tomei mais um comprimido de antidepressivo (normalmente só tomo dois) e fui escutar música."	"positiva"	"3.070"
"bc2584302fffead698e1809107a60040"	"m"	"Eu não sei se você se lembra disso, cachorro, mas eu lembro."	"neutra"	"1.535"
"bc2584302fffead698e1809107a60040"	"m"	"Tenho a estatura de 1,57 cm e 60 kg."	"neutra"	"6.080"
"bc2584302fffead698e1809107a60040"	"m"	"Os amigos dele já notaram que eu estou gostando dele demais ."	"neutra"	"1.903"
"bc2584302fffead698e1809107a60040"	"m"	"Eu fui tão idiota, em valorizar depois de perder."	"positiva"	"4.712"
"bc2584302fffead698e1809107a60040"	"m"	"Fazer as escolhas certas é que é o difícil da coisa."	"negativa"	"1.938"
"bc2584302fffead698e1809107a60040"	"m"	"Mas eu só tenho esse jeito de expressar o que eu sinto."	"positiva"	"3.662"
"bc2584302fffead698e1809107a60040"	"m"	"Só você me faz sorrir."	"neutra"	"2.967"
"bc2584302fffead698e1809107a60040"	"m"	"A beleza de uma mulher está no seu sorriso, na sua personalidade, na sua simplicidade."	"positiva"	"1.448"
"bc2584302fffead698e1809107a60040"	"m"	"Ah! Meu bem, você é a minha metade."	"positiva"	"1.551"
"bc2584302fffead698e1809107a60040"	"m"	"Hoje foda-se, não to nem ai para o que vocês pensam sobre mim, não estou nem ai pra sua popularidade, vai contar mentira na casa do caralho, não no meu ouvido."	"positiva"	"1.224"
"bc2584302fffead698e1809107a60040"	"m"	"Eu só queria ser motivo de orgulho, mas pelo jeito realmente nunca serei boa o suficiente para você, e eu não consigo mais fingir que está tudo bem, porque não está!"	"negativa"	"5.398"
"bc2584302fffead698e1809107a60040"	"m"	"Cheguei no trabalho hoje tão desanimada, vejo tanta coisa pra fazer mas não tenho estímulo, fico revoltada quando penso que me esforço tanto para dar o melhor de mim nessa empresa e as pessoas indiretamente atrapalham o meu trabalho."	"negativa"	"3.711"
"bc2584302fffead698e1809107a60040"	"m"	"Oi querido diário, mais uma vez estou aqui me sentindo uma merda e a culpa é toda minha!"	"negativa"	"7.496"
"bc2584302fffead698e1809107a60040"	"m"	"No final das contas, ela acabou indo dormir com o meu pai, e minha mãe na cama dela (da minha irmã)."	"negativa"	"2.479"
"bc2584302fffead698e1809107a60040"	"m"	"Você lambeu minhas lágrimas, e dormiu do meu lado sempre que eu chorei até cair no sono."	"neutra"	"2.680"
"bc2584302fffead698e1809107a60040"	"m"	"Luana minha amiga me levou pra um culto evangélico para o pastor falar comigo, eu liguei pro meu namorado na época pra ir comigo."	"positiva"	"2.313"
"bc2584302fffead698e1809107a60040"	"m"	"Depois os rapazes também gostam de rapariags que tenham algum corpo. Não aquelas que só parecem que têm ossos."	"neutra"	"3.934"
"bc2584302fffead698e1809107a60040"	"m"	"O que acontece hoje, eu recompenso amanhã."	"neutra"	"7.728"
"bc2584302fffead698e1809107a60040"	"m"	"Te amo muito meu Pai!"	"neutra"	"2.856"
"bc2584302fffead698e1809107a60040"	"m"	".Foi legal, depois de muita conversa ficamos namorando, incrível como aquele garoto tem o dom de me enlouquecer e ao mesmo tempo me fazer feliz."	"positiva"	"5.960"
"bc2584302fffead698e1809107a60040"	"m"	"Esses últimos 3 meses do mês é o período que mais trabalhamos pois ganhamos por comissão."	"positiva"	"4.927"
"bc2584302fffead698e1809107a60040"	"m"	"Esses sentimentos começaram quando tinha 14 anos(eu acho), não sei o que deu de errado na minha vida."	"neutra"	"2.873"
"bc2584302fffead698e1809107a60040"	"m"	"se mostrou até irritado pois disse que não estava muito afim de ir, mas disse que era preciso."	"negativa"	"3.406"
"bc2584302fffead698e1809107a60040"	"m"	"Já perdi as contas de quantos modos eu já tentei descobri a verdade."	"negativa"	"1.920"
"bc2584302fffead698e1809107a60040"	"m"	"Chegando lá fomos para uma suite stand, super confortavel e lá começou, beijos gostosos por todo o meu pescoço e logo vi que ela estava super fogosa."	"neutra"	"5.312"
"bc2584302fffead698e1809107a60040"	"m"	"Mas apesar de todas essas coisas, às vezes esqueço de tudo que to passando e me sinto tão bem."	"positiva"	"3.119"
"bc2584302fffead698e1809107a60040"	"m"	"Tipo tudo estava muito bem muito legal"	"positiva"	"2.951"
"bc2584302fffead698e1809107a60040"	"m"	"QUE VOCÊ ME ENSINE A SER MAIS HUMANA E O VERDADEIRO SENTIDO DO AMOR, DESDE JÁ ME PERDOE-ME PELOS MEUS EXCESSOS PARA CONTIGO, MAS QUE ESSA LINDA OPORTUNIDADE, SEJA APROVEITADA E QUE DEUS NOS AJUDE DIARIAMENTE A SERMOS MÃE E FILHO QUE VENHA MEU FILHO AMADO."	"positiva"	"1.505"
"bc2584302fffead698e1809107a60040"	"m"	"Obrigado por ter mudado minha vida, e salvado ela."	"positiva"	"10.855"
"bc2584302fffead698e1809107a60040"	"m"	"Não tenho mais aquela aparência tão jovem, mas o meu coração ainda é o mesmo que te amou, que te deu carinho, e adorou receber o seu."	"positiva"	"1.672"
"bc2584302fffead698e1809107a60040"	"m"	"Mas não é por isso se sente necessidade de viver anunciando suas qualidades."	"positiva"	"3.088"
"bc2584302fffead698e1809107a60040"	"m"	"Este foi o relato do meu sexo de ano novo."	"neutra"	"8.392"
"bc2584302fffead698e1809107a60040"	"m"	"Durante um momento de descontração e risos, eu tive um momento muito estranho, senti um espírito próximo de mim e de repente eu tive uma sensação de que eu já havia estado naquela clínica ali antes."	"positiva"	"2.022"
"bc2584302fffead698e1809107a60040"	"m"	"O namorado não é o meu."	"positiva"	"4.471"
"bc2584302fffead698e1809107a60040"	"m"	"Se ele tivesse 50 anos e eu o amasse, eu ficaria com ele sem nenhum problema"	"neutra"	"2.152"
"bc2584302fffead698e1809107a60040"	"m"	"Durante o dia, conseguia ver meu irmão pela janela, um belo menino loiro, somos bem mais que irmão, compartilhamos segredo, ele é meu cúmplice e sou a dele."	"positiva"	"3.159"
"bc2584302fffead698e1809107a60040"	"m"	"Nunca me arrumei tão rápido, ainda bem que moro a uns cinco minutos de carro pro meu trabalho."	"positiva"	"7.102"
"bc2584302fffead698e1809107a60040"	"m"	"Conheci uma menina nova lá, acho que vamos ser amigas."	"neutra"	"4.416"
"bc2584302fffead698e1809107a60040"	"m"	"E meu pai, com certeza não vai lembrar."	"positiva"	"1.919"
"bc2584302fffead698e1809107a60040"	"m"	"Não tenho o toque da sua mão deslizando meu corpo, não tenho seus abraços, não tenho seus beijos, não tenho você em minha vida."	"negativa"	"1.857"
"bc2584302fffead698e1809107a60040"	"m"	"Por um lado vai ser bom porque não vou ter que escutar minha mãe gritando no trânsito, o que ja ajuda muito."	"negativa"	"5.806"
"bc2584302fffead698e1809107a60040"	"m"	"Não deu nem 2 semanas e eu não aguentei e pedi pra ele pra voltar pra dosagem anterior - 2 comprimidos."	"positiva"	"6.481"
"bc2584302fffead698e1809107a60040"	"m"	"Ele me dizia tenho certeza de que a gente nunca vai fazer essas coisas que conversamos, mas tudo bem."	"neutra"	"3.064"
"bc2584302fffead698e1809107a60040"	"m"	"Eu peguei achando que fosse aqueles livros de criancinhas que falam : Querido diário.. Hoje eu aprendi a ler.. "	"neutra"	"8.047"
"bc2584302fffead698e1809107a60040"	"m"	"Só sei que ontem eu sonhei com ele e quando estou com ele me esqueço de tudo que está em volta de mim ."	"neutra"	"5.295"
"bc2584302fffead698e1809107a60040"	"m"	"Dessa vez vou ter que ser forte."	"positiva"	"3.416"
"bc2584302fffead698e1809107a60040"	"m"	"Ovos sem colesterol e carne de porco light são exemplos do que pode fazer a pesquisa genética em busca de alimentos mais saudáveis."	"neutra"	"1.894"
"bc2584302fffead698e1809107a60040"	"m"	"Ouvi papai e mamãe conversando ontem no quarto, eles disseram que todos os recursos médicos estariam a minha disposição a preço que fosse."	"positiva"	"4.600"
"bc2584302fffead698e1809107a60040"	"m"	"Quando meus pais se divorciaram, não me restou mais nada."	"positiva"	"5.294"
"bc2584302fffead698e1809107a60040"	"m"	"Sou muito frienta, quando eu estava na minha cama, eu peguei 3 cobertas e estava de blusa de frio."	"negativa"	"1.904"
"bc2584302fffead698e1809107a60040"	"m"	"Sempre vou lembrar com carinho de tudo o que vivi com você."	"neutra"	"3.383"
"bc2584302fffead698e1809107a60040"	"m"	"O que você semeia você certamente colherá."	"positiva"	"1.551"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Me lembro que eu comia muito na escola, para não ter que comer em casa, e tomava banho escondido, era muito triste."	"negativa"	"5.127"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"A aula de português estava chata."	"negativa"	"4.734"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Depositamos tanta confiança e tanto sentimento nas pessoas."	"neutra"	"3.640"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Quando li essa mensagem eu pensei vou ligar para ele e ver como ele está, e tenta adianta oq ele quer fala comigo."	"neutra"	"4.120"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Meu marido em 10 anos não consegue colocar nada pra dentro de casa as contas estão atrasadas a geladeira vazia, ele é preguiçoso!"	"neutra"	"6.166"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Hoje me senti muito só e ao invés de chorar, como sempre, me automutilei."	"negativa"	"5.109"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Quando eu tinha três anos fui morar na casa de uma tia, pois minha mãe não tinha condição de me criar."	"negativa"	"3.871"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Me prendo a memórias por que muitas delas não voltam, muitas pessoas mudaram, mas as memórias não."	"negativa"	"4.306"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"O pior e quando nos apegamos aquela pessoa e ela vai embora, sem saber que a que ficou esta cada vez, mas apaixonada, que não consegue imaginar sua vida sem ela, e falamos a vida segue, mas uma parte nossa ela leva com as pessoas que passam."	"neutra"	"8.438"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Mas sabe, é estranho pensar que isso seja natural, eu me sinto completamente mal por ele demonstrar interesse por outras, considero falta de respeito."	"negativa"	"11.113"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Ele me confidencia que você foi a boca que ele mais gostou de beijar."	"negativa"	"6.815"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Ontem a noite quando eu cheguei do curso e ia jantar eu senti uma dor daquelas que sempre sinto na perna minha perna paralisou a Fernanda me levou para a sala meu pai estava jantando, quando fui para a sala comecei a me tremer e a sentir uma tontura e um zunido no ouvido seguido de uma dormência nas mãos."	"neutra"	"6.472"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Mas não foi o que aconteceu e hoje em dia nem amigos somos mais uma amizade de mais de cinco anos acabou assim."	"negativa"	"12.522"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"E quando eu acordo, não passo o dia feito lesa."	"negativa"	"5.662"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Muitos acham que eu estou errada, e que estou falando inúmeras bobagens, ao dizer que existe um grande ódio presente em mim."	"neutra"	"5.497"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Fechei a porta, a Helen me olhava assustada, não disse nada só me direcionei para o banheiro, liguei o chuveiro, entrei com roupa e tudo, as lagrimas se misturavam com a água do chuveiro, a porta se abre."	"negativa"	"7.260"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"No armário sobrou uma coisa e não sei se é sua."	"negativa"	"12.220"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Fico pensando , como vai ser quando eu começar a fazer faculdade , me casar , ter filhos."	"neutra"	"4.081"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"E meu namorado estava de bermuda jeans, uma polo, e um tênis da oakley que o pé esquerdo esta sem cadarço, todo rasgado, sujo."	"neutra"	"3.179"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"Ele meio que sugeriu que tenho personalidade borderline e espectro bipolar ( ciclotimia) enfim, nada que eu já não desconfiasse."	"neutra"	"5.720"
"c2a6e53f5f6a5ef01c86cf67ae5c669b"	"f"	"A minha mãe disse que estou muito rebelde!"	"negativa"	"10.965"
