frase_id,frase,n_modelos_total,modelo,baseline_masculino,baseline_feminino,pred_masculino,pred_feminino
1125,Ela se interessa por todos os seus assuntos sem pé e sem cabeça.,4.0,RF,neutra,neutra,positiva,neutra
1125,Ela se interessa por todos os seus assuntos sem pé e sem cabeça.,4.0,LR,neutra,neutra,positiva,negativa
1004,"Pra comemorar pedimos pizza, e eu fiz uma carta e deixei do lado dele da cama!",4.0,SVM,neutra,neutra,positiva,negativa
1004,"Pra comemorar pedimos pizza, e eu fiz uma carta e deixei do lado dele da cama!",4.0,NB,neutra,neutra,positiva,negativa
1004,"Pra comemorar pedimos pizza, e eu fiz uma carta e deixei do lado dele da cama!",4.0,RF,neutra,neutra,positiva,neutra
1004,"Pra comemorar pedimos pizza, e eu fiz uma carta e deixei do lado dele da cama!",4.0,LR,neutra,neutra,positiva,negativa
951,"Imaginem uma menina de 14 anos alta, e sem peito, bunda, cochas longas e finas, com certeza ficaria uma merda.",4.0,SVM,negativa,negativa,positiva,neutra
951,"Imaginem uma menina de 14 anos alta, e sem peito, bunda, cochas longas e finas, com certeza ficaria uma merda.",4.0,NB,negativa,negativa,positiva,neutra
951,"Imaginem uma menina de 14 anos alta, e sem peito, bunda, cochas longas e finas, com certeza ficaria uma merda.",4.0,RF,negativa,negativa,positiva,negativa
951,"Imaginem uma menina de 14 anos alta, e sem peito, bunda, cochas longas e finas, com certeza ficaria uma merda.",4.0,LR,negativa,negativa,positiva,neutra
21,"Mãe, desculpe por eu ser quem sou, por eu ser tão e unicamente eu, por eu ser diferente, por eu ser tão errada aos olhos teus.",4.0,SVM,negativa,negativa,positiva,neutra
21,"Mãe, desculpe por eu ser quem sou, por eu ser tão e unicamente eu, por eu ser diferente, por eu ser tão errada aos olhos teus.",4.0,NB,negativa,negativa,positiva,neutra
21,"Mãe, desculpe por eu ser quem sou, por eu ser tão e unicamente eu, por eu ser diferente, por eu ser tão errada aos olhos teus.",4.0,RF,negativa,negativa,positiva,negativa
21,"Mãe, desculpe por eu ser quem sou, por eu ser tão e unicamente eu, por eu ser diferente, por eu ser tão errada aos olhos teus.",4.0,LR,negativa,negativa,positiva,neutra
856,"Pois é, me orgulho de mim mesma, porque mesmo com todos os problemas, continuo aqui intacta.",4.0,SVM,negativa,negativa,positiva,neutra
856,"Pois é, me orgulho de mim mesma, porque mesmo com todos os problemas, continuo aqui intacta.",4.0,NB,negativa,negativa,positiva,neutra
856,"Pois é, me orgulho de mim mesma, porque mesmo com todos os problemas, continuo aqui intacta.",4.0,RF,negativa,negativa,neutra,negativa
856,"Pois é, me orgulho de mim mesma, porque mesmo com todos os problemas, continuo aqui intacta.",4.0,LR,negativa,negativa,positiva,neutra
