frase_id,modelo,padrao,frase,baseline_masculino,baseline_feminino,score_severidade,n_modelos_amplificam,n_bilateral,n_unilateral,forca_maioria_masc,forca_maioria_fem,forca_maioria_combinada
324,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Tenho percebido como minha vida tem mudado de uns anos pra cá e como eu mudei.,1.0,1.0,8,4,4,0,1.0,0.75,0.875
542,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Ele queria fazer sexo anal em mim e tava insistindo muito.,-1.0,-1.0,8,4,4,0,1.0,0.75,0.875
747,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Preciso de bons curativos, que não sejam eternos, afinal nada é para sempre, mas, que não sejam desc",-1.0,-1.0,8,4,4,0,1.0,0.75,0.875
1005,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Pelo menos pornografia não engorda.,-1.0,-1.0,8,4,4,0,1.0,0.75,0.875
127,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Bom hoje começo escrever meu diário virtual, já que não tenho um único amigo pra me ouvir quando pre",-1.0,-1.0,8,4,4,0,0.75,0.75,0.75
791,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Fazer as escolhas certas é que é o difícil da coisa.,-1.0,-1.0,8,4,4,0,0.75,0.75,0.75
1177,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Eu queria muito ter a amizade dele, mas ele sempre vem com segundas intenções, estou quase dando um ",0.0,0.0,8,4,4,0,0.75,0.75,0.75
669,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Ela pode até ficar meio sem jeito, mas, se a conversa dos dois havia sido agradável para ela, com ce",1.0,1.0,7,4,3,1,1.0,1.0,1.0
725,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Me lembro que eu comia muito na escola, para não ter que comer em casa, e tomava banho escondido, er",-1.0,-1.0,7,4,3,1,1.0,1.0,1.0
1048,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL']","Mas foi em uma semana, muito bem planejada por mim, que enfim ocorreu o nosso encontro dos sonhos.",-1.0,-1.0,7,4,3,1,1.0,1.0,1.0
1194,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL']","O Senhor conhece e sonda o meu coração, sabe o que penso, o que sinto.",0.0,0.0,7,4,3,1,1.0,1.0,1.0
1208,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL']",Ja estou no limite para chegar a cima do peso.,-1.0,-1.0,7,4,3,1,1.0,1.0,1.0
168,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL']",Me sinto super mal de todo mundo apresentar bem e eu apresentar mal.,-1.0,-1.0,7,4,3,1,0.75,1.0,0.875
540,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL']","Quando se apaixona por uma garota tímida, saiba que ela pode também estar mas nunca tomará iniciativ",0.0,0.0,7,4,3,1,0.75,1.0,0.875
1163,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL']","Meu fim de semana foi razoável, digamos que esperava um pouquinho mais.",1.0,1.0,7,4,3,1,1.0,0.75,0.875
734,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']","Mas sabe, é estranho pensar que isso seja natural, eu me sinto completamente mal por ele demonstrar ",-1.0,-1.0,6,4,2,2,1.0,1.0,1.0
1156,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']","Sei muito bem que vou ficar escrevendo e ele vai estar olhando, analisando o que eu tô fazendo.",1.0,1.0,6,4,2,2,1.0,1.0,1.0
0,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Comprei meu livro.,-1.0,-1.0,6,3,3,0,1.0,1.0,1.0
5,"['NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Ganhei um notebook novo.,-1.0,-1.0,6,3,3,0,1.0,1.0,1.0
418,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",A uns meses atrás eu reencontrei um amigo então ele começou a me dar ideia e eu fui acreditando ele ,0.0,0.0,6,3,3,0,1.0,1.0,1.0
625,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Eu sofri muito por não conseguir tomar o remédio e sofri mais ainda pela brutalidade dos meus pais p,0.0,0.0,6,3,3,0,1.0,1.0,1.0
735,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Ele me confidencia que você foi a boca que ele mais gostou de beijar.,-1.0,-1.0,6,3,3,0,1.0,1.0,1.0
933,"['NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Era muita gente, tenho certeza que os 24 que entrarem vão ter gabaritado a prova!",0.0,0.0,6,3,3,0,1.0,1.0,1.0
1055,"['SVM', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",No caminho da casa dessa garota encontramos um senhor deitado no chão como se estivesse morto ou des,-1.0,-1.0,6,3,3,0,1.0,1.0,1.0
1183,"['SVM', 'NB', 'RF']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Chegando na casa dele, eu me senti confortável.",-1.0,-1.0,6,3,3,0,1.0,1.0,1.0
41,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']","Neste momento senti minha vida acabar, meu coração estava partido em bilhões de pedaços, tudo que co",-1.0,-1.0,6,4,2,2,0.75,1.0,0.875
140,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']",Na verdade eu nem queria ter acordado hoje.,-1.0,-1.0,6,4,2,2,0.75,1.0,0.875
329,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL']","De noites perfeitas de amor, você me fez ver o que é realmente o amor.",1.0,1.0,6,4,2,2,0.75,1.0,0.875
458,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']",Não aceitei o estabilizador pelo mesmo motivo da risperidona.,1.0,1.0,6,4,2,2,1.0,0.75,0.875
32,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Tive apendicite com sérias complicações.,-1.0,-1.0,6,3,3,0,1.0,0.75,0.875
34,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Ainda me lembro das vezes que você me olhava e dizia o quanto me amava, o quanto me queria.",-1.0,-1.0,6,3,3,0,1.0,0.75,0.875
55,"['SVM', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Em casa as coisas vão de mal a pior, a situação do meu irmão e da minha cunhada se arrasta, causando",-1.0,-1.0,6,3,3,0,1.0,0.75,0.875
136,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","À minha frente lá estava a tal mulher , que inacreditavelmente já não levava a mesma abóbora, mas um",0.0,0.0,6,3,3,0,0.75,1.0,0.875
201,"['SVM', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Ficamos o resto do dia garradinhos, combinamos de ir no shopping para ele pagar uma conta, mais quem",0.0,0.0,6,3,3,0,0.75,1.0,0.875
287,"['SVM', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Tem tantas situações boas e ruins que envolvem amor e paixão, que não há como descrever todas.",0.0,0.0,6,3,3,0,0.75,1.0,0.875
376,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Diz ele que levantou antes de mim, e ficou beijando meu rosto, e eu nem mexia de tanto sono.",-1.0,-1.0,6,3,3,0,0.75,1.0,0.875
779,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Também comprei abóbora e me dirigi ao caixa pagador.,0.0,0.0,6,3,3,0,0.75,1.0,0.875
1020,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Parece que aconteceu ontem, porque consigo sentir até o cheiro dele.",0.0,0.0,6,3,3,0,1.0,0.75,0.875
1071,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Eu fiz o mundo, eu fiz o amor.",-1.0,-1.0,6,3,3,0,1.0,0.75,0.875
1109,"['NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Os verdadeiros amigos são anjos!,0.0,0.0,6,3,3,0,0.75,1.0,0.875
1140,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Eu me apaixonei por um rapaz que é deste site.,-1.0,-1.0,6,3,3,0,1.0,0.75,0.875
198,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL']",O tempo sempre ajuda mas as vezes 1 minuto sozinha dentro desse quarto escuro parece tanto tempo a m,-1.0,-1.0,6,4,2,2,0.5,1.0,0.75
267,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL']","Minha mãe só liga para pedir as coisas para mim, ela não é capaz de vir me visitar, de ser presente ",1.0,1.0,6,4,2,2,0.75,0.75,0.75
294,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",A verdade é que sou intensa demais e não há quem dê jeito nisso.,1.0,1.0,6,4,2,2,1.0,0.5,0.75
535,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']","Um lugar com paz, com alegria.",-1.0,-1.0,6,4,2,2,0.75,0.75,0.75
1001,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL']","Eu sabia que você tinha sumido de algum modo, mas queria evitar isso, queria mentir pra mim mesma.",-1.0,-1.0,6,4,2,2,0.75,0.75,0.75
2,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Mais uma vez eu to aqui me lamentando, eu estou arrasada, meu marido ele mentiu pra mim, ele criou u",0.0,0.0,6,3,3,0,0.75,0.75,0.75
48,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Às vezes me sinto meio mal por ser tão dependente dos outros, não saber fazer nada sozinha.",1.0,1.0,6,3,3,0,0.75,0.75,0.75
500,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Nunca transamos, mas acho que tá mais perto que longe.",0.0,0.0,6,3,3,0,0.75,0.75,0.75
603,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Adoro crianças , e as vezes me pareço muito com elas , adoro brincar , pular , enfim... bagunça , ad",-1.0,-1.0,6,3,3,0,0.75,0.75,0.75
691,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Prometo te amar ate o fim da minha vida, ate meu ultimo suspiro, ate a ultima batida do meu coração,",1.0,1.0,6,3,3,0,0.75,0.75,0.75
753,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Pior é que eu gostei dele também.,0.0,0.0,6,3,3,0,0.75,0.75,0.75
817,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Conheci uma menina nova lá, acho que vamos ser amigas.",0.0,0.0,6,3,3,0,0.75,0.75,0.75
1072,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Chegamos ao nosso cantinho: uma maca cercada de cortinas.,0.0,0.0,6,3,3,0,0.75,0.75,0.75
1182,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","A única coisa que fizemos foi sexo oral, ele em mim.",0.0,0.0,6,3,3,0,0.5,1.0,0.75
610,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']","Continuo amando assistir desenhos, preferindo ficar a noite toda no computador e sem me importar com",-1.0,-1.0,6,4,2,2,0.5,0.75,0.625
21,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Mãe, desculpe por eu ser quem sou, por eu ser tão e unicamente eu, por eu ser diferente, por eu ser ",-1.0,-1.0,6,3,3,0,0.75,0.5,0.625
171,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']",Nos beijamos mais e ele me levou até a esquina do meu condomínio.,1.0,1.0,6,3,3,0,0.5,0.75,0.625
255,"['NB', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL']","Tive uma crise de choro enquanto fazia sexo com meu namorado, acusando ele de não me amar, de me tra",-1.0,-1.0,6,3,3,0,0.5,0.75,0.625
91,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']","E dia 22 à noite sai a lista dos convocados, 28 a segunda lista, e depois, se houver, ainda tem a li",-1.0,-1.0,5,4,1,3,1.0,1.0,1.0
789,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_UNILATERAL']",Os amigos dele já notaram que eu estou gostando dele demais .,0.0,0.0,5,4,1,3,1.0,1.0,1.0
925,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']","Cartas de amor geralmente não começam assim, com explicações e motivos.",0.0,0.0,5,4,1,3,1.0,1.0,1.0
478,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']",Meu Deus estou muito ansiosa eu imagino toda hora eu e meu amado juntos.,1.0,1.0,5,3,2,1,1.0,1.0,1.0
486,"['SVM', 'NB', 'RF']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL']",Minha mãe teve uma briga daquelas comigo por causa dos horários de sono.,0.0,0.0,5,3,2,1,1.0,1.0,1.0
557,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL']",Acredito que por causa disso essas férias foram perfeitas.,-1.0,-1.0,5,3,2,1,1.0,1.0,1.0
939,"['SVM', 'NB', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']","Imaginem uma menina de 14 anos alta, e sem peito, bunda, cochas longas e finas, com certeza ficaria ",-1.0,-1.0,5,3,2,1,1.0,1.0,1.0
1119,"['SVM', 'RF', 'LR']","['AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL']","Sou bem organizada, paranoica, tenho nojo de quase tudo.",0.0,0.0,5,3,2,1,1.0,1.0,1.0
250,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']","Você jurou também, que perdoaria os meus erros e os meus defeitos, que qualquer deslize que eu tenha",-1.0,-1.0,5,4,1,3,0.75,1.0,0.875
402,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']",Mas a sensação de alguém por perto era suficiente pra mim.,0.0,0.0,5,4,1,3,0.75,1.0,0.875
433,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']","Eu queria ser uma conhecedora da vida, pra entender meu coração.",1.0,1.0,5,4,1,3,1.0,0.75,0.875
526,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_UNILATERAL']","Ao cair da noite nos dirigimos ao hotel mais próximo da casa, com uma boa aparência, ficava mais a v",1.0,1.0,5,4,1,3,0.75,1.0,0.875
545,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']","Pois uma coisa é certa, se não é pra ser com você, vai ser com quem me ame e retribua.",0.0,0.0,5,4,1,3,1.0,0.75,0.875
737,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']",Mas não foi o que aconteceu e hoje em dia nem amigos somos mais uma amizade de mais de cinco anos ac,-1.0,-1.0,5,4,1,3,0.75,1.0,0.875
772,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']","Estávamos uns dias sem ter contato, quando ele me liga perguntando se eu havia esquecido ele e porqu",-1.0,-1.0,5,4,1,3,0.75,1.0,0.875
970,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']",Eu voltei a ser feliz e estou rindo muito de tudo que aconteceu.,-1.0,-1.0,5,4,1,3,1.0,0.75,0.875
1108,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']",Quando me abraça sinto-me protegida.,-1.0,-1.0,5,4,1,3,1.0,0.75,0.875
1116,"['SVM', 'NB', 'RF', 'LR']","['AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_UNILATERAL', 'AMPLIFICACAO_BILATERAL', 'AMPLIFICACAO_UNILATERAL']","Quando o telefone toca,já me acelera o coração",-1.0,-1.0,5,4,1,3,0.75,1.0,0.875
