modelo,fold,frase_id,frase,real_masculino,real_feminino,pred_masculino,pred_feminino,concordancia_real,concordancia_pred
SVM,1,78,"Vou sentir falta dela, mas a vida é assim, as vezes temos que abrir mão de algo, para podermos conti",-1,-1,1,1,1,1
SVM,1,84,"Ódio eu tenho de mim mesma, por não ser a filha que você sempre quis e desejou; e por mais que eu te",-1,-1,1,0,1,0
SVM,1,86,"Nós nos amamos, e vamos nos casar.",-1,-1,1,1,1,1
SVM,1,87,"A maioria das aulas são de manhã, ou seja, tenho que acordar cedo.",-1,-1,-1,-1,1,1
SVM,1,95,"Rodrigo meu amigo, ele disse que ia volta pra fala comigo no msn, eu o considero como um grande irmã",1,1,1,1,1,1
SVM,1,99,"Hoje com 21 anos, como que por auxilio lá do auto, começei a ver nessa semana relatos de pessoas que",1,1,-1,-1,1,1
SVM,1,101,"Meus sentidos de garota diziam que tinha alguma coisa errada, entao pedir para o lucar e o victor vo",0,0,-1,-1,1,1
SVM,1,109,"Ju e Geovana ficaram menos mandonas, o que melhorou o nosso relacionamento.",0,1,1,1,0,1
SVM,1,114,"É tão dificil assim ela me amar, porque ela falo que eu não vou fazer diferença a unica coisa que eu",-1,-1,-1,-1,1,1
SVM,1,117,Já comecei mal o dia.,-1,-1,1,1,1,1
SVM,1,120,Resolvi cortar minha franja.,0,0,-1,0,1,0
SVM,1,125,"Nunca namorei a distância, mas acho que não seria fácil!",1,0,1,1,0,1
SVM,1,127,"Bom hoje começo escrever meu diário virtual, já que não tenho um único amigo pra me ouvir quando pre",-1,-1,1,0,1,0
SVM,1,128,"Chegando à fábrica fiz o processo normal, quando estou chegando a minha sala vejo o telefone tocar e",0,0,-1,-1,1,1
SVM,1,129,Minha vida é um sofrimento interno e eterno.,-1,-1,1,-1,1,0
SVM,1,134,"Coloque seus problemas nas mãos do Senhor, e Ele te dará Vitórias!",1,1,1,1,1,1
SVM,1,138,"Então alguém bateu palmas no portão seria ali que minha vida desmoronaria, era um homem e meu esposo",-1,-1,-1,-1,1,1
SVM,1,155,"Depois meu pai, simplesmente chegou e falou algo do tipo Sua sem coração, não notou que seu cachorro",-1,-1,1,1,1,1
SVM,1,159,Porém o medo de você se distanciar de mim é maior que tudo.,-1,-1,1,1,1,1
SVM,1,160,Eu comprei uma camisa gola V vermelha com zíper pra ele.,1,0,0,0,0,1
SVM,1,172,"Eu saía cedo de casa e voltava muito tarde, isso quando eu voltava.",1,0,-1,0,0,0
SVM,1,174,"Gente eu sempre ando bem arrumada, cheirosa, maquiada do lado do meu namorado, nunca fiz ele passar ",1,1,-1,-1,1,1
SVM,1,183,Acabei conhecendo uma pessoa que eu a amo e ela me ama também.,1,1,1,1,1,1
SVM,1,188,"Odeio quando sou tão boa e as pessoas se aproveitam disso, odeio, ter que esconder todo meu sofrimen",-1,-1,-1,-1,1,1
SVM,1,189,A vida dá tantas voltas.,0,0,1,1,1,1
SVM,1,196,Eu quero que você se de bem na vida e que ame alguém que tbm te ame muito.,1,0,-1,1,0,0
SVM,1,198,O tempo sempre ajuda mas as vezes 1 minuto sozinha dentro desse quarto escuro parece tanto tempo a m,-1,-1,-1,0,1,0
SVM,1,218,Estamos vivendo em um mundo onde a aparência física vale mais do que a aparência interior.,-1,0,-1,-1,0,1
SVM,1,220,Entrei neste fórum e vi pessoas super legais e inteligentes.,0,0,-1,-1,1,1
SVM,1,222,Mas eu acabei lendo e me interessei pra caramba nele.,-1,-1,1,1,1,1
SVM,1,223,"Uma sensação de fracasso tomou conta de mim, tristeza, desânimo e um total desalento pela vida.",-1,-1,1,1,1,1
SVM,1,224,"Quero dirigir carro, ser independente, ser uma psicóloga bem sucedida.",-1,-1,1,1,1,1
SVM,1,225,"Eu te Amo e cada gesto seu vai ficar aqui dentro do meu coração pra lembrar do teu amor por nós, eu ",1,1,1,0,1,0
SVM,1,238,"SÓ QUE ELE COMECOU A DESVIAR O OLHAR DA TV PRA MIM, EU FINGIA QUE NÃO VIA E CONTINUAVA FOCADA NA TV.",-1,-1,1,1,1,1
SVM,1,242,"Olhar disfarçadamente pra uma mulher bonita é natural, qual a mulher que não sabe que um homem bonit",-1,-1,1,1,1,1
SVM,1,257,"Me acariciava com tanta vontade, com tanto tesão.",1,0,1,0,0,0
SVM,1,258,"Depois disso ficávamos de vez em quando, escondidos, para ninguém mais atrapalhar.",1,1,1,1,1,1
SVM,1,259,Passei o final de semana inteiro fazendo um vídeo para o meu namorado para esse dia fora o conjunto ,1,-1,1,-1,0,0
SVM,1,260,A janela não está com suas dezenas de xampus.,0,0,1,0,1,0
SVM,1,269,"Tudo vai ficar bem! Chegarei mais cedo hoje, vou preparar o macarrão que tanto você gosta, quer toma",0,0,0,0,1,1
SVM,1,276,"Ele me receitou zolpidem, um hipnótico, pra me ajudar a dormir.",1,1,1,0,1,0
SVM,1,281,"Só de imaginar a gente ficando, da vontade de vomitar.",-1,-1,-1,-1,1,1
SVM,1,282,"Guardei todas na minha memória, não as esquecerei jamais.",-1,-1,-1,-1,1,1
SVM,1,286,"Conta uma velha lenda dos índios Sioux que, uma vez, Touro Bravo, o mais valente e honrado de todos ",1,-1,1,1,0,1
SVM,1,288,"Assim que cheguei, Penélope estava esperando.",0,0,-1,-1,1,1
SVM,1,290,"Pode ser que nos vejamos amanhã, pode ser que só nos encontremos daqui a um ano, pode ser até que o ",1,1,0,0,1,1
SVM,1,303,"O Marcelo é especial e o que sinto por ele não tem acabado , só tem aumentado cada vez mais e mais .",1,1,-1,-1,1,1
SVM,1,305,"E os gemidos são tão forçados, parece mais que estão parindo do que fazendo sexo - sexo não, tá mais",-1,-1,-1,1,1,0
SVM,1,309,"Daquele jeito, vc beijando gostoso e fazendo tudo o que se tem direito em quatro paredes.",-1,-1,1,1,1,1
SVM,1,321,"Alguns são leves e divertidos, nos mostram a alegria da vida.",-1,-1,-1,-1,1,1
SVM,1,322,Depois daquele dia eu mudei inovei meu visual mudei meu guarda-roupa terminei os estudos hoje sou ps,1,1,0,0,1,1
SVM,1,331,"O nosso coração é sempre a vitima, sempre fica em pedaços.",0,0,-1,-1,1,1
SVM,1,335,"Ao mesmo tempo me fazem bem, mas ao mesmo tempo me fazem mal.",0,-1,-1,-1,0,1
SVM,1,336,"Quarta feira à noite sai o gabarito, aí eu vou saber quantas eu acertei.",-1,0,1,1,0,1
SVM,1,337,Estou criando essa página pra desabafar com meu próprio computador.,0,0,1,0,1,0
SVM,1,344,Ainda lembro de quanta satisfação que eu tinha em te ver sorrir.,0,0,-1,-1,1,1
SVM,1,349,Ele está triste e eu estou triste.,-1,-1,1,0,1,0
SVM,1,351,"Perguntou se eu estava melhor ( ultimamente só tenho chorado), disse para ele que eu estava normal, ",1,1,-1,-1,1,1
SVM,1,355,"Chorei mais do que no natal e na páscoa, juro juradinho que chorei.",-1,-1,0,0,1,1
SVM,1,359,"Então eu não sei mais oque fazer, me entregar pra morte ou esperar mais um pouco?",1,1,1,1,1,1
SVM,1,361,"Passei então 3 aulas me segurando pra não chorar e tentando estudar, pois ia fazer 3 provas depois d",-1,-1,1,-1,1,0
SVM,1,362,"Nem ao menos um beijo seu eu consegui, mas posso afirmar que não foi necessário para mim me apaixona",-1,-1,1,-1,1,0
SVM,1,379,"Hoje minha vida é uma grande bosta, eu me sinto tão imperfeitamente estranha uma aberração, EU ME OD",1,1,1,1,1,1
SVM,1,397,Tinha um garoto que ficava direto me olhando e isso tava me incomodando.,0,0,-1,0,1,0
SVM,1,416,"Apesar de ser tarja vermelha, não vou poder usar ele mais do que dois meses, por causa da dependênci",1,1,1,1,1,1
SVM,1,418,A uns meses atrás eu reencontrei um amigo então ele começou a me dar ideia e eu fui acreditando ele ,0,0,1,-1,1,0
SVM,1,421,Era um belo trabalho.,0,0,0,0,1,1
SVM,1,423,"Se bem, que agora não tá diferente, porque de todo jeito ele tá comigo por piedade.",1,1,1,1,1,1
SVM,1,431,QUE O AMOR AO PRÓXIMO E A VONTADE DO CONHECIMENTO SEJA A SUA MARQUINHA NESTE LINDO ESPIRITO ILUMINAD,-1,0,-1,-1,0,1
SVM,1,433,"Eu queria ser uma conhecedora da vida, pra entender meu coração.",1,1,1,0,1,0
SVM,1,435,Me refugiei dentro da umbanda com meus guias e guias dos outros.,0,0,1,1,1,1
SVM,1,436,Sai de madrugada e diz que foi comprar um pastel.,1,0,-1,-1,0,1
SVM,1,449,"Estou aqui para compartilhar minha triste vida, mais especificamente minha triste vida como viciado ",-1,-1,-1,-1,1,1
SVM,1,454,"As vezes me sinto triste, tenho 12 anos e sou bv, a maioria das minhas amigas, nao são bvl, e o pior",1,0,-1,-1,0,1
SVM,1,472,"Hoje meu namorado vai pra um aniversário, geralmente ele vem na minha casa todo santo sábado.",1,0,1,1,0,1
SVM,1,473,"Entre beijos, ele começou a me acariciar, já estava pronta pra fazer aquilo, e entre beijos me envol",0,0,-1,-1,1,1
SVM,1,474,"Oi Querido Diário, estava com saudades de você, não estava escrevendo muito aqui porque minhas féria",1,1,1,0,1,0
SVM,1,475,"Devo erguer a cabeça e seguir, pois sei que ela quer mesmo isso, que eu siga meus sonhos, que eu sej",0,-1,-1,-1,0,1
SVM,1,478,Meu Deus estou muito ansiosa eu imagino toda hora eu e meu amado juntos.,1,1,-1,0,1,0
SVM,1,479,"Ai descobriram que todas nós tínhamos nos cortado, pensaram que nos tínhamos feito alguma espécie de",1,0,-1,-1,0,1
SVM,1,482,"Vai tomar no cú pra quem não gosta de mim, você acha que eu dependo da tua amizade?",-1,-1,1,1,1,1
SVM,1,488,"Mas meu marido é Materialista, Mal Humorado, digo quase Bi POLAR, um bom pai sim, mas não um bom mar",1,1,1,-1,1,0
SVM,1,494,"Meu dia foi bom, acordei cedo, ajudei minhas mãe e meu pai a arrumarem minha festinha, busquei minha",-1,-1,-1,0,1,0
SVM,1,505,"Daqui a pouco ninguém mais vai querer me chamar pros grupos, se eu continuar mal assim.",-1,-1,1,1,1,1
SVM,1,508,Por incrível que pareça aquilo me deixava mais forte.,1,1,1,1,1,1
SVM,1,517,Estou ansiosa a te esperar.,-1,-1,1,1,1,1
SVM,1,519,"Ás vezes me vêem na cabeça que ninguém gosta de mim, minha mãe é um porre o único que se salva e que",0,0,1,-1,1,0
SVM,1,522,"Como o irmão mais velho e brincalhão, como o caçador de patos mais incrível que já passou pela terra",1,1,1,1,1,1
SVM,1,527,"Eu fazia isso, porque eu não sabia o que era o amor.",-1,-1,-1,-1,1,1
SVM,1,530,"Foi quando encontrei uma mulher que já havia conhecido antes e parei no carro, parece filme american",-1,-1,1,1,1,1
SVM,1,536,Mas eu acho que nem na de remanescentes eu vou estar.,1,1,0,1,1,0
SVM,1,547,Já li metade do livro e deu pra perceber que é totalmente diferente do que eu pensei.,0,0,1,0,1,0
SVM,1,549,"Não importa o preço, o que importa é que eu esteja linda no dia.",1,1,1,1,1,1
SVM,1,550,"Então, nem deu tempo de eu ler uma página do livro e já bateu.",1,1,-1,-1,1,1
SVM,1,555,"Conheci um rapaz, gentil, bonito e engraçado.",1,1,-1,-1,1,1
SVM,1,560,"Queria tanto, mas não posso, pois o que sinto por ti é tão forte, impossível de esquecer.",0,0,-1,-1,1,1
SVM,1,566,"Andei pesquisando a idade do pessoal daqui, e como disse estou escrevendo um livro, já postei o prim",1,1,1,1,1,1
SVM,1,572,"Minha mente diz que é loucura esperar tanto tempo, mas coração diz que é possível.",1,1,-1,0,1,0
SVM,1,577,Minha educação depende da sua!,-1,-1,-1,0,1,0
SVM,1,578,"Meu anjinho da guarda que se chamava Douglas, além de lindo era meu melhor amigo!",0,0,-1,-1,1,1
SVM,1,585,"Hoje, meu primeiro post, vai ser bem rápido porque está tarde.",1,1,1,1,1,1
SVM,1,589,"Sinto falta das brincadeiras de boneca , de assistir chiquititas na tv , e ouvir sandy e junior.",-1,0,1,-1,0,0
SVM,1,596,"Estávamos no ponto de ônibus, brincamos como nos filmes, ele corria atrás de mim, me pegava pela cin",0,1,-1,-1,0,1
SVM,1,601,"Aquele dia na parte da manhã foi torturante, sabia que minha mãe falaria um monte, ela estoura do na",1,1,1,1,1,1
SVM,1,609,"Mas saiba que eu sinto muito a sua falta, sinto falta do teu sorriso.",1,1,1,1,1,1
SVM,1,612,"Foi maravilhoso, senti a pegada dele transando, era muito mais gostoso.",-1,-1,1,0,1,0
SVM,1,614,Agora estou aqui com meus cartões todos tendo que ser parcelados (vou pagar o triplo do valor por co,-1,-1,1,1,1,1
SVM,1,615,"Nossa união surgiu um garotinha linda que é a minha vida e tem hoje 4 aninhos,",-1,-1,1,1,1,1
SVM,1,618,"Mas há algo nela que min incomodava muito, seu modo de ver a vida, era vulgar, pensava apenas em fes",1,1,-1,-1,1,1
SVM,1,625,Eu sofri muito por não conseguir tomar o remédio e sofri mais ainda pela brutalidade dos meus pais p,0,0,1,-1,1,0
SVM,1,633,Ontem eu tive uma noite maravilhosa com meu marido.,1,1,1,1,1,1
SVM,1,635,"Sou casada, feliz no casamento, tenho um bom emprego onde conheci uma pessoa.",0,1,0,0,0,1
SVM,1,637,Amei o remédio até agora.,1,0,-1,-1,0,1
SVM,1,638,"Eu não aguento mais as nossas brigas, elas me deixam em um estado que eu não sei nem explicar em pal",1,1,1,0,1,0
SVM,1,643,"Ela sai com as amigas, sai com os garotos.",-1,0,1,1,0,1
SVM,1,650,"Na páscoa, lá estávamos nós, no mesmo ano, sozinhos em casa de novo.",1,1,-1,-1,1,1
SVM,1,652,"Correr pela rua, voltar pra casa toda suja de terra, brincadeiras de pique-esconde , policia e ladrã",1,1,-1,-1,1,1
SVM,1,666,Até que de repente minha irmã levanta e começa a chorar que nem uma louca.,0,0,-1,-1,1,1
SVM,1,669,"Ela pode até ficar meio sem jeito, mas, se a conversa dos dois havia sido agradável para ela, com ce",1,1,0,-1,1,0
SVM,1,675,"já magoei minha esposa de tantas formas, que sequer tenho coragem de ligar para ela, mesmo achando q",1,1,-1,-1,1,1
SVM,1,682,Gostei do querido diário é um site muito legal as pessoas expressam os seus sentimentos.,0,0,1,1,1,1
SVM,1,688,Sempre foi bem difícil eu me enturmar com as pessoas.,-1,0,-1,-1,0,1
SVM,1,698,"Era o aniversario dele, e eu queria fazer algo diferente.",1,0,-1,0,0,0
SVM,1,699,"Eu, uma amiga e a família dele, que família maravilhosa, todos brincalhões, unidos, amorosos.",1,1,-1,-1,1,1
SVM,1,702,Foi a coisa mais linda a formatura dessa minha afilhada.,1,1,-1,-1,1,1
SVM,1,706,Eu fiquei muito triste porque eu gostava muito dele e estava disposta ai fazer tudo por ele ai as la,1,0,-1,-1,0,1
SVM,1,711,"Meu coração partiu em milhões de pedaços, comecei a chorar na hora, ele pediu para eu não chorar, e ",0,0,-1,-1,1,1
SVM,1,717,"Porque agora eu sei que é você quem meu coração realmente escolheu, que é você por quem vou lutar at",0,0,1,1,1,1
SVM,1,718,Eu simplesmente pensei Ele não vê que eu acabei de perder tudo que eu tinha?,1,1,-1,-1,1,1
SVM,1,752,"E me lembro também, como você conseguia aplacar a minha dor.",0,0,1,1,1,1
SVM,1,754,Ela teve 5 filhos e nenhum teve pai.,0,0,1,0,1,0
SVM,1,756,"Sem contar que as nossas mensagens varavam madrugadas e sempre terminavam no mesmo assunto, sexo.",0,0,1,1,1,1
SVM,1,767,"Eu divido o quarto com a minha irmã, então ficou eu na minha cama, ele no colchão (no chão do meu la",1,1,-1,-1,1,1
SVM,1,769,Fui pra sala e um pouco depois minha professora nos levou pra biblioteca.,-1,0,1,1,0,1
SVM,1,770,"Ninguém, nem meus pais nem meus irmãos ia saber porque estava chorando, nunca.",0,0,1,1,1,1
SVM,1,772,"Estávamos uns dias sem ter contato, quando ele me liga perguntando se eu havia esquecido ele e porqu",-1,-1,0,-1,1,0
SVM,1,784,"Conheci um amigo da minha irmã esses dias, ele tem 17 anos e pelo que percebi, é bem galinha, resolv",-1,-1,-1,0,1,0
SVM,1,788,"Eu não sei se você se lembra disso, cachorro, mas eu lembro.",1,0,1,-1,0,0
SVM,1,789,Os amigos dele já notaram que eu estou gostando dele demais .,0,0,1,0,1,0
SVM,1,790,"Eu fui tão idiota, em valorizar depois de perder.",1,0,1,-1,0,0
SVM,1,792,Mas eu só tenho esse jeito de expressar o que eu sinto.,0,0,-1,-1,1,1
SVM,1,798,"Oi querido diário, mais uma vez estou aqui me sentindo uma merda e a culpa é toda minha!",-1,-1,1,1,1,1
SVM,1,799,"No final das contas, ela acabou indo dormir com o meu pai, e minha mãe na cama dela (da minha irmã).",-1,-1,-1,-1,1,1
SVM,1,803,"O que acontece hoje, eu recompenso amanhã.",0,0,0,1,1,0
SVM,1,809,Tipo tudo estava muito bem muito legal,1,1,-1,-1,1,1
SVM,1,810,"Não tenho mais aquela aparência tão jovem, mas o meu coração ainda é o mesmo que te amou, que te deu",1,1,1,-1,1,0
SVM,1,812,Este foi o relato do meu sexo de ano novo.,0,0,-1,-1,1,1
SVM,1,818,"Não tenho o toque da sua mão deslizando meu corpo, não tenho seus abraços, não tenho seus beijos, nã",-1,0,1,-1,0,0
SVM,1,821,Eu peguei achando que fosse aqueles livros de criancinhas que falam : Querido diário.. Hoje eu apren,0,0,1,1,1,1
SVM,1,838,"Terreiros errados, guias errados, falta de educação com as pessoas, responsabilidade, falta de atitu",1,1,-1,-1,1,1
SVM,1,841,"Quem ama não esquece, quem ama não deixa passar.",-1,-1,1,1,1,1
SVM,1,844,Eu só quero que esse dia acabe logo.,1,1,1,1,1,1
SVM,1,849,Eu não consigo ver uma loira gostosa na minha frente que eu já me excito!,1,1,0,1,1,0
SVM,1,854,"Quando foi semana passada, ela pediu pra eu fazer o cabelo dela novamente, ai eu fiz, pra fora e tal",-1,-1,1,1,1,1
SVM,1,858,Briguei com ele e eu exclui tudo mas na outra semana vi mais e mais desenhos pornôs.,1,0,-1,-1,0,1
SVM,1,863,"No fim , nos despedimos , e nos olhamos como se nossos olhos trocassem um  eu te amo  e sinto que fo",0,0,1,1,1,1
SVM,1,865,Ela não pode entrar na internet quando ele tá na casa dela (a não ser BEM RÁPIDO) pq tem que estar o,1,1,1,-1,1,0
SVM,1,872,"Sinto este desejo todos os dias sabe, até mesmo quando faço, porém horas depois já estou com vontade",-1,-1,1,-1,1,0
SVM,1,883,"Tentar ser forte e acreditar, que tudo vai passar.",0,0,1,1,1,1
SVM,1,885,"E é assim até hoje, sofrendo, brigando direto com meus pais.",1,1,1,1,1,1
SVM,1,888,"Eu já cansei de correr atrás de quem não merece, agora se quiser que venha atrás de mim , você sabe ",1,1,1,-1,1,0
SVM,1,903,Vibro com alegrias que não me pertecem.,1,1,1,1,1,1
SVM,1,906,"E porque ele é muito envergonhado pra dar em cima de você, é timidez.",-1,0,1,-1,0,0
SVM,1,908,Eu não pretendo me comprometer seriamente com ninguém.,-1,-1,1,1,1,1
SVM,1,909,"Depois de muitas lágrimas e uma festa de despedida as minhas férias acabaram, voltei pra minha reali",-1,-1,1,-1,1,0
SVM,1,910,"Bom, antes de tudo devo deixar expresso aqui que ela quem me mandou o e-mail abaixo, contando detalh",0,-1,1,1,0,1
SVM,1,918,"Enfim, Boa Noite, e gostaria de agradecer aos comentários do assunto anterior.",-1,-1,1,1,1,1
SVM,1,920,Eu cheguei da escola ontem normal almocei e eu estava com o fone de ouvido no ultimo volume.,1,0,1,1,0,1
SVM,1,921,"Eu confiei muito na Evellyn (minha prima), eu contei a ela coisas que só EU deveria saber, contei me",1,1,-1,-1,1,1
SVM,1,924,"O ônibus interno parou e perguntou se eu iria para Benq, informei que não.",0,0,1,1,1,1
SVM,1,926,Eu mudo muito meus sentimentos em relação a ele.,0,0,1,-1,1,0
SVM,1,933,"Era muita gente, tenho certeza que os 24 que entrarem vão ter gabaritado a prova!",0,0,1,1,1,1
SVM,1,935,"Queria esquecer a luz dos teus olhos, pois assim eu não sentiria saudades deles, queria esquecer o t",0,0,-1,-1,1,1
SVM,1,940,"Se ele puxar assunto quer dizer que ele gosta de falar com você, mas se caso você puxa assunto, e el",0,0,1,1,1,1
SVM,1,941,Ai ele me achou melhor e colocou na receita apenas um comprimido de fluoxetina.,-1,-1,1,-1,1,0
SVM,1,945,"Ninguém acredita, e alguns até riem, quando eu digo que meu cachorro foi tudo e nada para mim, e que",1,0,-1,-1,0,1
SVM,1,950,"A descoberta de novos sentimentos, novas ações e tals.",1,1,0,-1,1,0
SVM,1,952,"Já basta, não aguentando mais, eu discuti com minha tia hoje com minha mãe e estou chorando e parece",0,0,0,-1,1,0
SVM,1,954,"Basta saber viver, saber ser livre , amar e ser amado , saber fazer e ser feliz !",-1,-1,-1,1,1,0
SVM,1,960,"Eu tenho alguns planos em minha mente, e tem um prazo para isso ser realizado.",-1,-1,-1,0,1,0
SVM,1,966,É acreditar num mundo melhor.,-1,-1,-1,-1,1,1
SVM,1,969,E deixar alguém feliz vale mais do que saber da minha vida.,1,1,-1,-1,1,1
SVM,1,971,"Mas ele é lindo, aquele sorriso, a forma como fala comigo é muito fofo.",-1,-1,1,1,1,1
SVM,1,975,"Encontrarei alguém que realmente me faça feliz, talvez, Deus quer que ele seja somente meu amigo, o ",0,0,1,1,1,1
SVM,1,995,Talvez do jeito que eu e minhas amigas fazemos esteja errado porém parece ser real.,1,1,1,1,1,1
SVM,1,1010,"Eu acho que já era madura pra ter oito ou nove anos, sinceramente.",1,0,-1,0,0,0
SVM,1,1014,Assim ele vai tentar querer saber oque você quer.,-1,-1,1,-1,1,0
SVM,1,1018,Eu não sabia o que fazer!,1,1,-1,-1,1,1
SVM,1,1025,"Ouvir lixo do meu pai e ver minha mãe propondo coisas ridículas me fazem ficar pior, mais nervosa.",0,0,-1,-1,1,1
SVM,1,1028,"Então, ela está ali para aturar você falando sobre coisas banais, ela só quer ver a sua boca se mexe",0,0,-1,-1,1,1
SVM,1,1031,"Não por querer, toda família simplesmente esquece da minha existência.",0,0,1,1,1,1
SVM,1,1033,"Ai gente não gosto disso, sei la acho uma falta de respeito comigo!",-1,-1,-1,-1,1,1
SVM,1,1035,Confiar em si é a melhor solução pra nao se encontrar nessas situações.,-1,-1,-1,-1,1,1
SVM,1,1039,"Moça alta, mulata, bonitona.",-1,-1,-1,-1,1,1
SVM,1,1040,VOU FICAR TORCENDO PRA ELE FICAR BEM LONGE DE MIM..... ATÉ PORQUE ELE NÃO É NADA BONITO.,-1,-1,1,-1,1,0
SVM,1,1043,"Sou forte, madura, e aprendo com meus erros.",-1,-1,-1,1,1,0
SVM,1,1050,"Em vez de cerca, uma ponte foi construída ali, ligando as duas margens do riacho.",1,1,1,1,1,1
SVM,1,1056,Na realidade não é que estão seguindo a moda: eles estão sempre na moda.,-1,-1,-1,-1,1,1
SVM,1,1060,"Eu quase xingo aquela mulher de cima abaixo, é muita falta de respeito, quem é ela pra criticar meu ",1,0,1,1,0,1
SVM,1,1065,"Gravei um filme na TV, e agora apeteceu-me ir vê-lo.",-1,-1,1,1,1,1
SVM,1,1070,"Vim pra cá depois que a luz voltou, fiquei olhando a foto dele que tenho.",-1,-1,0,0,1,1
SVM,1,1078,"Amiga, acabei de ver a foto da Miih com o namorado no seu orkut, não me leve a mal, mas ele já deve ",0,-1,1,1,0,1
SVM,1,1082,"Tudo ia bem ele era do exercito não ganhava muito mais era o suficiente, com 2 anos de casados ele f",0,0,-1,-1,1,1
SVM,1,1099,Sentou em cima de mim e se esfregava em mim gostoso.,1,1,1,-1,1,0
SVM,1,1101,Meu pai me segurou pelo braço e queria me levar para tomar o remédio a essa hora eu já estava em uma,1,1,1,1,1,1
SVM,1,1105,Bom hoje eu e minhas amigas tivemos a ideia de fazer o Jogo da Caneta.,-1,-1,0,0,1,1
SVM,1,1109,Os verdadeiros amigos são anjos!,0,0,-1,-1,1,1
SVM,1,1116,"Quando o telefone toca,já me acelera o coração",-1,-1,1,-1,1,0
SVM,1,1129,"Qualquer lugar que vão, a conta é SEMPRE dividida, igualmente entre os dois.",-1,-1,-1,-1,1,1
SVM,1,1131,"E o velho emocionado ao vê-los tão jovens, tão apaixonados e tão ansiosos por uma palavra.",-1,1,1,1,0,1
SVM,1,1136,"É melhor está sozinho, pois enquanto está sozinho você vela pelo teu coração, em algum lugar alguém ",0,0,1,-1,1,0
SVM,1,1138,"Estava morrendo de vontade de chorar, então eu segurei as lagrimas e disse pra ele que eu não podia ",1,1,-1,-1,1,1
SVM,1,1140,Eu me apaixonei por um rapaz que é deste site.,-1,-1,1,0,1,0
SVM,1,1153,"O bom de tudo é que, toda noite antes de dormir, eu oro.",1,1,1,1,1,1
SVM,1,1154,"Me amou sempre quando eu mais precisei, sempre me apoiou.",1,1,-1,-1,1,1
SVM,1,1155,"Ele sempre fazia propostas de webcam mais hot e eu já cheguei a ficar de calcinha e sutiã, mas isso ",1,1,1,-1,1,0
SVM,1,1160,Senti firmeza no lado dela vi interesse isso me animava.,1,1,-1,-1,1,1
SVM,1,1172,"Como é pública, o nível é bem elevado.",1,1,1,1,1,1
SVM,1,1175,"Romance é por tempo indeterminado, enquanto o lance tem tempos contados.",1,1,-1,-1,1,1
SVM,1,1189,"Acho isso ridículo, intendam se ele não gosta de você agora ,nem adianta minha filha, aliás adianta ",-1,-1,-1,-1,1,1
SVM,1,1195,"O único que sabe a resposta é ELE, portanto, reflita sobre a sua vida e peça perdão pelos seus pecad",-1,-1,-1,1,1,0
SVM,1,1196,enho certeza que isso se chama AMOR.,1,0,1,-1,0,0
SVM,1,1198,"Nada contra, claro, mas as pessoas deveriam se enxergar mais, pelo menos eu acho.",1,1,-1,-1,1,1
SVM,1,1199,"Estou sem chão, sem rumo, sem sonhos.",-1,0,1,-1,0,0
