texto,rotulo_masculino,rotulo_feminino
word147 word403 word245 word427 word445 word70 word328 word321 word407 word104 word229 word316 word138 word319 word386 word36 word118 word255 word313 word450 word335 word20 word298 word21 word478 word256 word248 word472 word450 word166 word470 word349 word255 word78 word453 word280 word282 word386 word430 word365 word34 word446 word471 word425 word99 word143 word55 word3 word332 word422 word435 word401 word486 word219 word211 word305 word496 word149,neutra,negativa
word128 word142 word344 word492 word103 word107 word479 word17 word25 word64 word457 word342 word375 word237 word176 word291 word293 word311 word401 word156 word385 word53 word73 word183 word369 word189 word13 word47 word448 word160 word284 word53 word287 word8 word72 word380 word98 word87 word330 word101 word496 word281 word371 word289 word237 word196 word391 word97 word450 word368 word430,positiva,positiva
word300 word415 word154 word113 word339 word486 word117 word5 word377 word326 word35 word272 word159 word210 word14 word25 word335 word218 word254 word484 word203 word101 word361 word229 word199 word402 word178 word276 word312 word130 word410 word279 word288 word141 word13 word401 word217 word186 word470 word27 word401 word218 word422 word14 word142 word396 word325 word485 word324 word55 word191 word285 word89 word45 word132 word498 word400 word498 word66 word279 word324 word148 word145 word436 word6 word82 word468 word123 word167 word237 word105 word290 word488 word238 word310 word472 word82 word94 word321 word343 word285,negativa,positiva
word448 word116 word115 word452 word142 word119 word93 word398 word9 word73 word26 word433 word239 word362 word145 word489 word68 word188 word366 word131 word221 word281 word277 word140 word54 word1 word128 word1 word173 word430 word432 word391 word266 word399 word296 word256 word395 word440 word174 word45 word343 word141 word27 word233 word209 word50 word61 word243 word269 word140 word157 word85,positiva,positiva
word245 word84 word436 word450 word377 word447 word391 word481 word309 word114 word234 word262 word391 word172 word18 word235 word310 word383 word157 word211 word281 word319 word196 word115 word397 word160 word155 word51 word418 word284 word73 word328 word341 word110 word286 word221 word9 word397 word82 word320 word294 word375 word22 word415 word99 word170 word190 word106 word320 word458 word265 word382 word351 word428 word447 word168,positiva,positiva
word232 word21 word307 word38 word276 word157 word179 word132 word311 word455 word348 word28 word260 word406 word76 word429 word67 word342 word492 word194 word472 word162 word347 word439 word361 word257 word72 word87 word422 word262 word214 word153 word210 word401 word61 word268 word262 word218 word283 word136 word467,negativa,negativa
word332 word458 word424 word411 word52 word384 word243 word263 word174 word100 word417 word475 word392 word389 word61 word456 word360 word188 word469 word408 word7 word189 word83 word351 word420 word283 word124 word157 word87 word148 word70 word460 word370 word76 word114 word3 word234 word167 word99 word124 word467 word45 word382 word324 word287 word106 word294 word481 word134 word8,positiva,positiva
word9 word450 word185 word295 word135 word110 word69 word136 word96 word119 word374 word274 word358 word366 word338 word177 word361 word237 word272 word277 word138 word362 word132 word44 word123 word136 word367 word373 word126 word439 word275 word495 word64 word296 word232 word51 word137 word158 word56 word81 word232 word428 word443 word399 word452 word326 word128 word126,neutra,neutra
word206 word387 word430 word416 word43 word484 word337 word496 word259 word249 word74 word373 word319 word367 word296 word274 word323 word359 word190 word138 word436 word457 word302 word311 word430 word331 word444 word353 word484 word282 word411 word166 word278 word26 word470 word453 word419 word450 word483 word73 word115 word51 word369 word402 word171 word268 word3 word210 word376 word486 word391 word481 word390 word338 word301 word383 word342 word115 word167 word435 word265 word227,neutra,neutra
word253 word489 word266 word188 word386 word230 word271 word259 word299 word415 word198 word323 word56 word319 word203 word271 word109 word116 word92 word138 word422 word303 word57 word50 word498 word71 word399 word402 word82 word372 word105 word88 word2 word360 word84 word482 word43 word154 word327 word422 word94 word298 word133 word395 word65 word290 word376 word257 word467 word386 word213 word148 word61 word471 word149 word88 word324 word383 word396 word278 word404 word82 word129 word286 word382 word353 word280 word270 word292 word453 word203 word24 word444 word351,negativa,negativa
word13 word219 word257 word2 word210 word484 word365 word225 word484 word194 word196 word400 word260 word57 word457 word113 word213 word279 word244 word380 word117 word386 word451 word87 word410 word381 word367 word263 word484 word300 word417 word113 word448 word164 word4 word118,positiva,positiva
word482 word209 word436 word186 word169 word172 word260 word205 word452 word135 word46 word9 word471 word161 word289 word340 word388 word321 word106 word290 word475 word341 word88 word463 word483 word192 word153 word311 word137 word273 word149 word188 word141 word131 word452 word4 word491 word476 word263 word26 word459 word24 word491 word266 word229 word269 word125 word172 word234 word295 word403 word435 word275 word76 word308 word214 word431 word485 word376 word158 word302 word204 word477 word149 word75 word380 word229 word304 word62 word58 word274 word108 word187 word475 word229 word48 word319 word268 word215 word290 word254 word445 word358 word87 word181 word25 word446 word388 word222 word478 word397 word426 word49 word334 word440 word175 word392 word311 word472 word274,neutra,neutra
word358 word26 word32 word46 word156 word244 word391 word35 word450 word278 word242 word406 word378 word259 word46 word434 word237 word8 word260 word271 word44 word238 word500 word167 word376 word76 word157 word201 word234 word232 word446 word212 word418 word154 word368 word213 word87 word18 word191 word308 word54 word216 word42 word349 word230 word230 word182 word436 word141 word288 word339 word337 word322 word82 word442 word167 word411 word334 word54 word463 word456 word73 word213 word171 word483 word436 word270 word219 word136 word35 word146 word183 word78 word308 word253 word328 word433 word392 word421 word236 word322 word337 word77 word374 word462 word425 word489 word73 word27 word404 word38,negativa,positiva
word322 word402 word59 word53 word64 word121 word119 word286 word18 word5 word325 word392 word393 word160 word376 word142 word397 word18 word68 word114 word22 word20 word399 word263 word461 word98 word105 word286 word5 word129 word444 word159 word251 word499 word276 word83 word320 word118 word448 word29 word493 word358 word138 word157 word31 word331 word471 word286 word153,negativa,neutra
word236 word147 word359 word115 word4 word87 word46 word83 word154 word306 word282 word327 word288 word111 word117 word97 word428 word282 word189 word88 word307 word443 word87 word422 word26 word380 word429 word31 word126 word198 word301 word31 word367 word317 word432 word232 word45 word493 word316 word189 word52 word52 word332 word499 word465 word318 word410 word323 word79 word49 word230,neutra,negativa
word388 word104 word483 word224 word320 word362 word354 word491 word473 word10 word405 word384 word302 word231 word219 word411 word66 word425 word112 word13 word393 word500 word420 word86 word234 word90 word314 word54 word12 word209 word462 word14 word121 word418 word437 word377 word20 word75 word400 word243 word223 word70 word312 word211 word101 word186 word132 word111 word381 word132 word20 word394 word24 word227 word154 word293 word230 word469 word310 word488 word359 word405 word202 word38 word430 word260 word188 word57 word429 word20 word273 word119 word71 word4 word221 word14 word3 word216 word229 word336 word186 word55 word500 word388,negativa,negativa
word324 word357 word168 word176 word310 word291 word479 word56 word108 word473 word296 word461 word324 word302 word334 word141 word155 word262 word273 word420 word232 word241,negativa,negativa
word478 word171 word250 word190 word199 word484 word221 word24 word244 word423 word324 word128 word93 word300 word133 word55 word477 word158 word29 word410 word211 word154 word293 word475 word222 word115 word437 word158 word259 word251 word122 word299 word263 word381 word49 word377 word329 word297 word362 word77 word463 word438 word127 word197 word221 word483 word91 word411 word8 word32 word468 word320 word394 word269 word191 word349 word163 word61 word438 word264 word285 word95 word41 word414 word470 word149 word204 word267 word2 word178 word425 word194 word482 word387 word336 word435 word196 word343 word249 word498 word212 word153 word158 word466 word362 word139 word221 word273 word154 word249,negativa,negativa
word402 word348 word261 word146 word191 word381 word165 word71 word439 word201 word355 word12 word52 word441 word256 word302 word360 word300 word487 word408 word9 word140 word100 word485 word137 word359 word366 word372 word22 word145 word161 word249 word175 word88 word399 word477 word480 word33 word477 word271 word283 word226 word445 word452 word497 word112 word82 word213 word304 word8 word134 word447 word118 word84 word258 word243 word237 word150 word374 word21 word134 word379 word96 word454 word13 word1 word150 word117 word152 word64 word425 word478 word150 word317 word364 word12 word90 word388 word83 word464 word250 word384 word396 word33 word149 word128 word100 word457 word487,positiva,positiva
word16 word2 word158 word30 word82 word31 word236 word496 word333 word148 word177 word370 word35 word23 word106 word97 word230 word227 word371 word100 word445 word468 word55 word195 word8 word424 word315 word128 word32 word93 word7 word258 word341 word390,neutra,neutra
word350 word443 word455 word441 word249 word76 word3 word81 word361 word288 word8 word87 word486 word286 word399 word74 word439 word123 word377 word294 word143 word158 word430 word448 word410 word371 word109 word334 word195 word36 word90 word462 word415 word462 word296 word330 word201 word46 word488 word107 word170 word146 word356 word420 word460 word178 word61 word424 word3 word82 word263 word287 word321 word95 word64 word246 word77 word477 word259 word93 word291 word271 word21 word62 word339 word412 word260,positiva,positiva
word294 word432 word52 word216 word72 word28 word469 word400 word252 word374 word400 word35 word401 word201 word249 word99 word308 word477 word487 word466 word140 word83 word48 word278 word379 word248 word383 word177 word52 word79 word385 word322 word64 word8 word214 word25 word450 word256 word243 word457 word457 word461 word198 word94 word207 word435 word437 word15 word178 word455 word378 word75 word104 word294 word168 word450 word115 word496 word39 word458 word364 word273 word135 word374 word232 word39 word452 word291 word307 word47 word36 word320,neutra,neutra
word436 word206 word432 word474 word403 word233 word401 word54 word487 word490 word68 word490 word291 word344 word169 word397 word161 word15 word191 word15 word287 word363 word412 word10 word57 word199 word161 word263 word389 word474 word381 word253 word119 word80 word124 word313 word72 word470 word482 word168 word284 word494 word36 word312 word175 word199 word116 word424 word315 word427 word220 word379 word66 word265 word134 word119 word122 word321 word387 word458 word421 word383 word492 word87 word289 word137 word53 word205 word348 word51 word327 word410,positiva,positiva
word92 word491 word368 word308 word423 word60 word350 word227 word240 word435 word212 word400 word98 word14 word218 word468 word170 word307 word280 word363 word210 word256 word171 word73 word147 word340 word317 word106 word94 word63 word154 word255 word351 word35 word323 word312 word296 word253 word157 word134 word436 word129 word436 word280 word358 word418 word371 word252 word135 word331,neutra,neutra
word322 word120 word380 word219 word417 word160 word300 word109 word238 word293 word475 word476 word67 word316 word187 word36 word49 word256 word435 word107 word8 word236 word178,positiva,positiva
word74 word242 word481 word49 word368 word364 word316 word222 word350 word144 word329 word209 word99 word188 word114 word175 word271 word63 word496 word284 word404 word225 word447 word161 word36 word381 word141 word318 word196 word151 word456 word269 word344 word40 word238 word414 word380 word222 word281 word225 word457 word154 word280 word353 word39 word217 word244 word109 word463 word61 word489 word496 word433 word425 word198 word276 word172 word272 word405 word271 word423 word42,positiva,positiva
word19 word130 word12 word81 word330 word354 word262 word392 word125 word307 word267 word447 word441 word383 word140 word329 word2 word8 word250 word139 word124 word309 word228 word10 word469 word212 word112 word8 word292 word477 word362 word460 word253 word14 word240 word438 word242 word469 word342 word149 word236 word306 word478 word167 word20 word216 word343 word135 word393 word129 word410 word422 word294 word246 word189 word44 word86 word44 word330 word375 word446 word378 word390 word145 word51 word242 word294 word408 word51 word266 word120 word200 word405 word248 word70 word341 word57 word382 word39 word472 word289 word443 word18 word440 word220 word313 word244 word352,negativa,negativa
word221 word9 word289 word444 word113 word477 word205 word405 word186 word341 word197 word266 word262 word248 word115 word121 word141 word65 word276 word313 word239 word302 word392 word10 word457 word369 word233 word195 word395 word12 word394 word409 word177 word177 word217 word11 word446 word118 word164 word39 word53 word218 word206 word487 word312 word360 word385 word56 word118 word388 word253 word286 word268 word291 word333 word180 word415 word358 word235 word343 word196 word308 word80 word135 word22 word477 word331 word440 word225 word58 word93 word192 word103 word396 word7 word128 word55 word231 word362 word62 word240 word90 word232 word457 word233 word354 word493 word333 word439 word375 word292 word345 word152 word428 word145 word130 word141 word415 word93,negativa,negativa
word397 word441 word188 word140 word9 word234 word92 word77 word340 word244 word333 word155 word218 word447 word477 word285 word150 word329 word88 word106 word403 word294 word95 word253 word39 word399 word255 word54 word416 word243 word110 word254 word112 word174 word189 word221 word249 word52 word162 word457 word35 word454 word37 word334 word317 word111,positiva,positiva
word499 word397 word487 word86 word75 word448 word135 word301 word173 word213 word321 word350 word19 word499 word119 word303 word302 word285 word227 word212 word356 word189 word487 word321 word151,positiva,positiva
word56 word168 word412 word205 word353 word259 word191 word482 word407 word55 word416 word340 word284 word380 word264 word259 word350 word89 word437 word222 word413,positiva,positiva
word412 word471 word454 word259 word453 word457 word7 word188 word4 word231 word133 word395 word125 word15 word448 word482 word13 word118 word240 word263 word360 word6 word440 word320 word231 word434 word30 word22 word409 word156 word118 word340 word423 word451 word389 word193 word399 word346 word195 word168 word377 word489 word239 word362 word482 word244 word69 word95 word499 word77 word171 word1 word406 word62 word207 word154 word274 word48 word137 word1 word235 word393 word256 word407 word107 word173 word130 word398 word294 word40 word447 word338 word16 word127 word373 word349 word492 word203 word134 word259,neutra,neutra
word447 word208 word409 word155 word180 word82 word10 word243 word178 word286 word257 word310 word4 word215 word391 word30 word346 word65 word124 word285 word153 word40 word26 word273 word159 word189 word264 word69 word1 word79 word228 word327 word46 word108 word475 word355 word124 word475 word148,neutra,negativa
word136 word248 word359 word341 word146 word334 word143 word234 word410 word437 word44 word32 word231 word28 word423 word491 word160 word333 word207 word18 word103 word70 word119 word139 word160 word232 word148 word353 word424 word392 word243 word35 word325 word382 word355 word239 word334 word149 word111 word408 word17 word402 word226 word140 word144 word260 word217 word162 word92 word174 word331,neutra,neutra
word444 word411 word143 word223 word232 word463 word33 word276 word170 word140 word357 word201 word23 word456 word224 word368 word270 word347 word153 word333 word85 word109 word31 word229 word240 word378 word363 word310 word389 word141 word156 word299 word345 word371 word99 word47 word487 word327 word422 word480 word67 word62 word109 word167 word37 word119 word498,negativa,negativa
word98 word4 word33 word299 word165 word450 word27 word173 word337 word113 word434 word373 word380 word95 word319 word233 word134 word124 word372 word351 word323 word488 word451 word353 word116 word443 word13 word405 word320 word165 word208 word85 word248 word432 word56 word172 word141 word132 word479 word201 word368 word289 word421 word309 word357 word408 word345 word179 word425 word29 word443 word424 word307 word306 word367 word36 word463 word109 word316,positiva,positiva
word133 word459 word255 word489 word220 word336 word41 word478 word388 word255 word2 word494 word195 word242 word149 word198 word299 word245 word338 word108 word453 word393 word212 word156 word26 word82 word83 word131 word329 word100 word256 word479 word49 word401 word63 word311 word407 word290 word105 word105 word325 word15 word175 word259 word211 word412 word259 word102 word260 word344 word159 word45 word443 word301 word251 word331 word165 word193 word9 word401 word374 word65 word387 word495 word282 word181 word415 word282 word279 word30 word266 word328 word492 word217 word320 word406 word399 word379 word105 word184 word330 word148 word105 word47 word87 word309 word437 word129,negativa,negativa
word102 word137 word404 word493 word222 word229 word294 word452 word486 word306 word316 word397 word119 word99 word350 word426 word324 word409 word159 word239 word396 word320 word335 word189 word309,positiva,positiva
word250 word275 word165 word487 word341 word8 word284 word5 word145 word101 word164 word374 word147 word64 word91 word117 word354 word267 word310 word173 word47 word140 word246 word149 word246 word395 word487 word476 word5 word465 word184 word20 word425 word46 word12 word70 word17 word371 word147 word154 word304 word108 word236,negativa,negativa
word345 word64 word35 word12 word431 word346 word311 word248 word112 word325 word467 word91 word294 word29 word12 word147 word137 word338 word157 word259 word87 word158 word494 word186 word344 word309 word357 word229 word4 word57 word438 word28 word16 word13 word200 word184 word309 word304 word281 word322 word158 word360 word259 word407 word157 word425 word94 word267 word21 word127 word347 word408 word500 word351 word350 word449 word385 word438 word456 word112 word234 word34 word80 word475 word452 word83 word29 word489 word131 word11 word392 word62,negativa,positiva
word199 word348 word166 word453 word292 word146 word441 word78 word112 word23 word375 word116 word142 word480 word197 word278 word28 word299 word76 word18 word100 word479 word461 word468 word124 word365 word292 word125 word7 word23 word162 word117 word370 word352 word21 word252 word326 word464 word483 word431 word309 word84 word362 word41 word203,positiva,positiva
word63 word39 word138 word469 word454 word241 word449 word226 word443 word206 word164 word27 word457 word183 word198 word479 word337 word437 word107 word444 word189 word36 word85 word155 word169 word284 word272 word35 word420 word184 word99 word237 word403 word441 word469 word122 word417 word23 word375 word63 word326 word480 word150 word195 word483 word80 word490 word315 word153 word17 word39 word333 word348 word459 word202 word423 word280 word422 word88 word481 word465 word441 word300 word292 word355 word70 word378,neutra,neutra
word153 word350 word376 word281 word201 word219 word408 word446 word104 word299 word315 word310 word486 word335 word230 word410 word54 word189 word222 word75 word349 word463 word172 word393 word42 word157 word335 word81 word208 word314 word86 word232 word447 word177 word107 word139 word102 word473 word310 word30 word194 word321 word244 word486 word314 word185 word293 word247 word118 word438 word73 word69 word242 word152 word319 word475 word94 word435 word271 word431 word457 word430 word229 word30 word113 word335 word148 word57 word177 word312 word56 word409 word265 word237 word278 word77 word421 word124,positiva,negativa
word296 word328 word295 word104 word14 word288 word179 word125 word422 word353 word23 word63 word143 word481 word153 word145 word225 word495 word450 word462 word309 word104 word104 word435 word39 word435 word198 word134 word67 word391 word179 word456 word42 word448 word500 word15 word111,negativa,negativa
word69 word312 word289 word250 word36 word239 word148 word467 word227 word244 word491 word337 word446 word365 word491 word482 word201 word154 word450 word73 word201 word296 word17 word129 word217 word61 word427 word104 word42 word25 word39 word291 word131 word498 word229 word108 word172 word435 word478 word102 word354,negativa,negativa
word10 word368 word214 word233 word171 word21 word15 word419 word368 word126 word341 word341 word213 word188 word172 word480 word247 word5 word231 word201 word373 word402 word149 word72 word492 word500 word226 word74 word307 word169 word249 word280 word488 word152 word224 word225 word38 word44 word185 word499 word443 word241 word418 word331 word351 word210 word23 word124 word86 word43 word466 word40 word303 word169,neutra,neutra
word439 word346 word229 word474 word117 word318 word279 word127 word393 word396 word129 word58 word122 word1 word239 word290 word96 word126 word118 word48 word89 word488 word237 word373 word385 word272 word189 word487 word192 word447 word69 word278 word349 word247 word451 word76 word154 word144 word435 word485 word86 word185 word285 word462 word220 word69 word47 word497 word94 word238 word446 word500 word453 word204 word400 word218 word474 word432 word341 word39 word100 word289 word254 word222 word357 word23 word250 word10 word246 word325 word100 word290 word180 word223 word394 word250 word147,negativa,negativa
word470 word470 word273 word493 word226 word352 word500 word70 word182 word353 word264 word370 word181 word484 word5 word197 word47 word458 word40 word122 word135 word140 word350 word153 word28 word427 word77 word175 word49 word342 word310 word274 word27 word328 word390 word459 word221 word122 word361 word69 word71 word150 word187 word431 word373 word246,neutra,neutra
word37 word432 word147 word92 word339 word273 word466 word466 word377 word87 word40 word178 word329 word285 word435 word42 word285 word66 word124 word145 word120 word109,neutra,neutra
word128 word359 word156 word145 word57 word70 word436 word44 word212 word175 word141 word76 word158 word85 word322 word309 word18 word284 word388 word42,positiva,positiva
word196 word34 word52 word112 word252 word82 word232 word227 word233 word221 word436 word413 word422 word42 word21 word42 word397 word113 word105 word192 word17 word120 word393 word425 word129 word130 word60 word48 word29 word97 word10 word242 word314 word444 word232 word277 word284 word203 word247 word290 word264 word443 word214 word200 word433,negativa,negativa
word73 word301 word273 word169 word333 word393 word198 word347 word106 word101 word359 word235 word280 word329 word377 word106 word395 word35 word157 word392 word273 word455 word396 word240 word207 word245 word93,positiva,positiva
word343 word219 word485 word443 word218 word190 word67 word31 word322 word250 word54 word10 word166 word339 word415 word285 word153 word32 word17 word371 word301 word305 word343 word146 word75 word379 word124 word52 word404 word190 word141 word88 word427 word84 word243 word106 word92 word355 word21 word6 word455 word221 word309 word87 word180 word453 word342 word393 word352,negativa,positiva
word239 word471 word112 word228 word442 word17 word73 word12 word86 word499 word180 word122 word204 word70 word108 word201 word52 word37 word117 word259 word482 word264 word394 word303 word425,neutra,neutra
word206 word318 word73 word259 word358 word148 word489 word225 word105 word44 word416 word356 word26 word304 word261 word59 word61 word305 word414 word401 word70 word442 word447 word445 word447 word271 word257 word397 word432 word384 word418 word125 word414 word19 word119 word320 word66 word245 word57 word44 word12 word378 word424 word236 word24 word395 word450 word257 word442 word284 word324 word361 word251 word94,positiva,positiva
word31 word19 word148 word471 word491 word283 word350 word341 word300 word163 word113 word455 word150 word330 word255 word87 word399 word350 word98 word397 word132 word466 word312 word407 word97 word98 word290 word356 word227 word145 word156 word270 word162 word112 word331 word185 word205 word97 word377 word55 word450 word482 word117 word93 word293 word452 word204 word282,neutra,neutra
word66 word206 word101 word320 word31 word373 word191 word66 word415 word303 word235 word278 word202 word500 word350 word225 word83 word46 word89 word186 word375 word189 word246 word46 word257 word352 word409 word61 word105 word337 word14 word301 word77 word230 word167 word66 word32 word96 word58 word104 word312 word134 word217 word67 word466 word178 word374 word247 word294 word235,neutra,neutra
word381 word256 word274 word155 word139 word167 word19 word345 word391 word223 word57 word386 word294 word133 word462 word338 word292 word452 word344 word205 word119 word253 word85 word185 word225 word148 word389 word280 word227 word286 word284 word181 word435 word109 word135 word426 word291 word375 word478 word290 word103 word201 word117 word332 word310 word29 word394 word27 word467 word13 word42 word421 word445 word224 word463 word21 word387 word136 word326,positiva,positiva
word479 word286 word185 word207 word466 word99 word242 word158 word98 word42 word139 word283 word408 word227 word423 word72 word243 word18 word77 word45 word472 word371 word343 word140 word177 word222 word415 word92 word22 word172 word92 word192 word77 word281 word364 word179 word238 word135 word365 word390 word280 word19 word83 word228 word371 word265 word112 word251 word164 word358 word168 word221 word408 word304 word191 word325 word437 word438 word170 word375 word45 word381 word474 word14 word231 word157 word500 word134 word391 word37 word53,negativa,negativa
word259 word266 word191 word63 word345 word446 word341 word104 word393 word408 word288 word259 word161 word171 word109 word140 word93 word469 word103 word226 word353 word160 word404 word195 word324 word145 word242 word465 word403 word132 word93 word273 word192 word22 word194 word170,negativa,positiva
word83 word154 word473 word266 word309 word79 word315 word150 word435 word48 word405 word379 word248 word278 word356 word98 word414 word25 word493 word284 word449 word369 word301 word68 word7 word305 word137 word164 word83 word385 word138 word420 word73 word237 word46 word106 word416 word288 word262 word176 word166 word145 word330 word370 word283 word54 word178 word419 word244 word341 word127 word409 word412 word367 word271 word132 word93 word379 word73 word411 word410 word403 word248 word348 word273 word43 word377 word41 word170 word434 word212 word493 word168 word39 word369 word245 word151 word111 word480 word436 word47 word63 word225 word366,negativa,negativa
word29 word383 word19 word171 word450 word74 word61 word427 word153 word276 word48 word211 word343 word408 word139 word110 word482 word183 word28 word197 word191 word315 word389 word51 word149 word268 word50 word388 word246 word113 word170 word468 word166 word409 word14 word203 word288 word395 word189 word402 word155 word55 word182 word210 word376 word471 word75 word277 word428 word133 word343 word425 word59 word345 word489 word182 word458 word406 word339 word321 word64 word327 word260 word193 word143 word104 word460 word406 word214 word242 word431 word209 word93 word430 word142 word434 word404 word434 word112 word417,negativa,negativa
word408 word455 word379 word34 word254 word248 word434 word42 word289 word123 word27 word462 word59 word147 word496 word115 word486 word460 word387 word199 word128 word376 word483 word153 word369 word271 word339 word444 word83 word23 word11 word187 word469 word116 word162 word103 word243 word7 word362 word172 word256 word247 word475 word192 word114 word23 word358 word314 word276 word411 word373 word444 word136 word357 word195 word258 word278 word70 word359 word360 word36 word108 word24 word140 word465 word22 word339 word329 word204 word380 word224 word223 word81 word407 word330 word191 word286 word147 word282 word474 word384 word11 word276 word374 word56 word173 word452 word303,positiva,positiva
word320 word486 word21 word200 word371 word447 word341 word448 word248 word276 word264 word58 word302 word31 word498 word249 word93 word496 word265 word271 word94 word154 word394 word285 word80 word292 word84 word365 word374 word37 word342 word327 word407 word425 word232 word93 word336 word102 word412 word432 word166 word159 word14 word373 word225 word73 word249 word91 word216 word461 word90 word29 word435 word305 word427 word476 word220 word328 word215 word221 word389 word42 word135 word42 word164 word361 word283 word58 word302 word322 word25 word73 word373 word411 word129 word87 word330 word426 word436 word153 word182 word125 word67 word6 word125 word314 word326 word53 word66 word314,negativa,negativa
word210 word150 word31 word100 word329 word302 word451 word353 word219 word253 word171 word257 word428 word57 word9 word5 word335 word114 word265 word173 word220 word205 word24 word493 word458 word170 word406 word103 word60 word86 word255 word165 word372 word167 word84 word458 word202 word90 word89 word437 word120 word156 word461 word399 word188 word188 word262 word52 word140 word19 word480 word75 word230 word481 word130 word55 word271 word448 word100 word69 word399 word299 word458 word17 word354 word116 word152 word330 word116 word30 word323,neutra,neutra
word222 word151 word390 word274 word437 word278 word485 word68 word235 word203 word233 word163 word459 word98 word9 word415 word249 word490 word480 word427 word227 word241 word75 word17 word51 word228 word194 word280 word238 word381 word271 word412 word387 word157 word254 word308 word310 word314 word301 word118 word333 word50 word278 word52 word181 word31 word327 word496 word432 word246 word90 word31 word102 word230 word388 word419 word97 word67 word192 word211 word137 word430 word339 word184 word56 word467,neutra,negativa
word166 word432 word444 word319 word214 word117 word386 word344 word72 word395 word64 word205 word209 word72 word277 word274 word478 word320 word338 word366 word495 word95 word166 word32 word11 word301 word217 word289,negativa,negativa
